T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
60,70,50,24,24,36,5,10,10,9,9,9,569.095188
70,70,60,24,36,12,10,5,5,9,9,9,749.773457
60,60,60,12,12,12,10,10,10,9,12,12,635.757075
70,70,60,48,48,24,5,5,10,9,9,9,749.48715
60,60,50,24,24,36,10,10,10,9,9,12,650.397122
70,70,60,24,24,12,5,10,10,9,12,12,565.446809
60,70,50,24,24,12,5,10,5,9,12,9,565.486477
70,70,50,48,24,24,5,5,10,9,12,12,724.62696
60,60,50,12,48,36,10,5,10,12,12,12,804.062075
70,70,60,24,12,12,5,5,5,12,9,12,678.670291
60,70,60,12,12,12,10,10,5,12,12,9,553.325693
70,70,50,36,48,24,10,10,10,12,12,12,573.962869
60,70,50,48,36,36,5,5,10,12,9,9,744.632574
70,60,60,36,24,12,10,10,10,9,9,9,654.008142
60,70,50,48,12,12,10,10,10,12,9,12,559.297427
70,60,50,24,12,24,10,10,5,12,12,12,632.217303
60,70,60,48,12,36,5,10,5,12,9,9,554.747611
70,70,60,12,24,12,10,5,10,9,9,12,735.752065
60,60,60,36,36,12,5,10,10,12,9,9,660.263019
70,70,60,12,36,24,10,5,5,12,12,9,741.432279
60,60,50,24,24,36,10,5,5,9,9,9,783.42273
70,70,60,12,24,12,10,5,5,12,9,12,735.462054
60,70,50,12,12,12,10,5,5,9,12,9,672.641613
70,60,50,48,36,24,10,10,10,9,9,9,658.50594
60,60,60,12,12,36,10,5,5,9,12,12,722.392328
70,70,60,48,48,12,5,10,10,12,9,9,582.217739
