T1_Depth,T2_Depth,T3_Depth,T1_Height_U,T2_Height_U,T3_Height_U,T1_Setback_FU,T2_Setback_FU,T3_Setback_FU,T1_Roof_Height,T2_Roof_Height,T3_Roof_Height,SolarRadiation
70,70,50,48,24,12,5,5,10,9,9,12,1009.041325
60,60,50,24,36,12,5,5,5,9,12,9,989.502266
70,70,60,12,12,24,5,10,10,9,12,9,833.610431
60,60,60,36,48,36,5,10,5,12,12,9,1014.795829
70,70,60,12,48,12,10,10,5,9,9,9,626.335818
60,70,50,12,36,12,5,5,5,9,12,12,866.577769
70,70,60,12,36,24,10,5,5,9,9,9,627.440715
60,60,50,12,36,36,5,5,5,9,12,9,866.067714
70,70,50,36,36,12,5,5,10,12,9,9,981.487689
60,70,60,12,48,12,5,10,10,9,9,9,865.380425
70,60,50,12,36,24,10,5,10,9,9,12,627.398063
60,60,60,12,24,36,5,5,5,12,9,12,859.310239
70,70,60,24,36,12,10,10,10,12,12,9,638.851217
60,70,50,48,24,12,5,5,5,12,9,12,1044.070159
70,60,50,12,48,24,5,5,10,9,9,9,828.616059
60,70,60,36,36,36,5,10,5,12,12,9,1016.128405
70,60,60,48,36,12,5,5,10,9,12,9,1007.703752
60,70,60,12,36,12,5,10,10,12,9,9,858.213995
70,70,60,36,24,24,5,5,10,12,9,9,982.707523
60,60,50,36,48,36,10,5,10,9,12,9,678.276484
70,60,50,12,36,12,10,5,10,9,9,9,627.398063
60,70,60,48,36,12,5,5,10,12,12,9,1042.764665
70,70,50,12,36,24,5,5,5,9,9,9,830.462889
60,60,50,24,48,36,5,10,5,9,12,12,987.537668
70,60,60,48,48,12,5,10,5,12,12,12,1001.002076
60,70,60,48,48,12,5,5,5,9,9,12,1049.340269
70,70,60,36,12,24,10,5,10,9,12,9,644.723656
60,70,60,24,36,36,10,5,10,12,9,9,672.304669
70,70,50,48,24,12,5,10,5,12,9,9,1003.748682
60,70,60,12,48,12,10,5,10,9,12,9,661.343095
70,70,60,12,12,24,10,10,10,12,9,12,623.06756
60,70,60,12,48,36,5,5,5,9,9,9,864.811552
70,70,50,12,36,12,10,10,5,9,9,9,627.532411
60,70,50,24,36,12,5,5,10,9,12,9,989.568121
70,70,50,36,36,24,10,10,10,12,9,12,637.246381
60,60,50,12,48,36,10,10,5,9,12,9,661.003217
70,60,50,12,12,12,5,5,5,9,9,9,833.793577
60,70,50,36,12,12,10,10,10,9,12,12,681.345148
70,70,50,24,36,24,10,10,5,12,9,9,639.132703
60,70,60,24,12,36,10,10,5,12,9,12,674.007896
70,70,50,12,12,12,5,10,10,9,12,9,833.610431
60,70,50,24,36,12,10,10,10,9,9,12,681.849142
70,60,60,12,12,24,5,5,5,9,12,12,833.580836
60,60,50,36,12,36,10,5,5,12,12,12,671.77028
70,70,50,24,36,12,10,5,5,12,12,12,638.736667
60,60,50,24,12,12,10,10,10,12,12,9,674.351792
70,60,60,24,12,24,5,5,5,9,9,12,955.370072
60,60,60,24,36,36,5,5,5,12,9,12,980.952522
70,60,50,24,48,12,5,5,5,12,12,12,944.909664
60,60,50,36,36,12,5,10,10,12,12,12,1016.395072
70,60,60,12,24,24,5,5,10,12,9,12,825.918501
60,60,50,36,12,36,10,10,5,9,9,9,681.168577
70,60,60,24,36,12,10,10,10,12,9,9,639.078477
60,70,60,48,12,12,10,10,10,12,12,9,683.162254
70,70,50,48,12,24,10,5,5,9,9,9,650.36523
60,70,60,48,48,36,5,5,5,9,12,12,1048.608396
70,70,50,48,36,12,5,5,5,12,12,12,1002.298292
60,60,50,36,48,12,10,5,10,9,12,9,678.622094
70,70,50,12,48,24,5,10,5,9,12,12,828.676313
60,60,50,36,36,36,5,5,5,12,9,12,1015.958828
70,60,50,24,48,12,5,10,10,12,12,9,945.179248
60,70,60,48,24,12,5,10,10,12,12,12,1043.972336
70,60,60,36,24,24,10,5,5,12,9,9,637.982039
60,70,60,12,48,36,5,5,5,9,12,12,864.246266
70,60,60,12,48,12,10,5,5,9,9,9,626.073967
60,70,50,24,24,12,5,10,10,9,12,9,991.425664
70,60,60,48,48,24,5,5,5,9,9,9,1006.397882
60,70,50,12,36,36,5,5,5,9,9,12,866.248482
70,70,50,12,24,12,5,10,5,12,12,9,825.739755
60,70,60,48,12,12,5,5,10,12,12,12,1045.082227
70,70,60,12,36,24,10,5,5,9,12,12,627.249295
60,60,50,12,36,36,10,10,10,12,9,9,652.633667
70,60,60,24,24,12,5,10,5,9,9,12,954.236143
60,70,50,48,12,12,10,5,5,12,12,12,683.159491
70,70,50,36,36,24,5,5,10,12,12,9,981.157712
60,70,60,24,24,36,10,5,5,12,12,9,673.321179
70,70,60,48,36,12,5,5,5,12,9,9,1002.476864
60,70,50,36,36,12,10,5,5,9,9,9,679.901326
70,70,50,24,24,24,5,10,10,12,12,12,948.371585
60,60,50,36,12,36,10,10,5,9,9,9,681.168577
70,70,60,12,24,12,5,10,5,12,9,12,826.166717
60,60,60,48,12,12,10,5,5,9,12,12,692.112232
70,70,50,24,24,24,5,10,5,12,12,9,948.371585
60,60,60,48,12,36,10,5,5,9,9,12,691.704326
70,60,60,24,36,12,5,5,10,9,9,9,952.364609
60,70,60,48,12,12,10,5,10,12,9,9,683.361954
70,60,50,36,36,24,10,10,5,9,9,12,643.344126
60,60,50,36,36,36,5,10,5,9,9,12,1023.966512
70,60,60,36,48,12,10,10,5,9,9,12,642.285406
60,60,50,48,12,12,5,5,10,9,9,12,1053.146809
70,60,50,36,12,24,10,5,10,12,12,12,638.585998
60,60,60,24,36,36,10,5,5,12,9,9,672.098161
70,60,60,24,48,12,10,10,5,9,9,12,644.161646
60,60,50,12,48,12,10,5,5,9,12,9,661.236612
70,70,60,24,24,24,10,5,10,12,12,12,640.143847
60,70,50,24,36,36,10,10,10,9,9,12,681.254627
70,60,60,48,24,12,5,10,5,9,12,9,1008.839041
60,70,50,36,48,12,5,5,10,9,12,12,1022.818299
70,60,50,36,12,24,5,10,5,12,12,12,983.713877
60,60,50,24,36,36,5,5,5,12,9,9,981.172805
70,70,50,36,36,12,10,10,10,9,9,9,643.351499
60,70,60,24,24,12,10,5,5,9,9,9,682.972503
70,60,50,24,12,24,10,10,10,12,9,9,641.078477
60,60,60,36,48,36,5,10,10,9,12,12,1022.392362
70,60,60,12,36,12,10,5,5,12,12,12,620.168725
60,60,50,24,12,12,5,10,10,12,12,12,984.360879
70,60,60,24,24,24,10,10,10,9,9,9,646.625646
60,70,60,24,24,36,5,10,5,12,9,12,982.904904
70,60,60,24,12,12,5,10,5,9,9,9,955.419188
60,60,60,36,12,12,10,10,5,12,9,9,672.624461
70,70,50,12,48,24,10,10,5,12,12,12,619.179283
60,60,50,24,48,36,5,5,10,9,9,12,987.504063
70,60,60,12,12,12,10,10,5,12,9,12,623.038918
60,60,50,36,36,12,10,5,5,12,9,12,670.916179
70,70,50,36,24,24,5,10,10,12,12,12,982.6097
60,60,60,36,24,36,10,10,10,12,9,12,671.25748
70,70,60,36,12,12,5,5,5,12,9,12,983.959418
60,70,60,12,24,12,10,5,5,9,9,9,664.383637
70,70,50,48,12,24,5,10,5,9,9,12,1010.319824
60,70,60,12,24,36,5,5,5,9,12,9,868.145245
70,60,50,24,12,12,5,10,10,12,9,9,949.748234
