,id,timestamp,Day,PeopleCount(p),PeoplePerArea(p/m2),LightingPower(W),LightingPowerIntensity(W/m2),EquipmentLoad(W),EquipmentPowerIntensity(W/m2),VentilationRate (m3/s),ACH,CarbonEmissions(lb-co2/h)
67,67.0,2022-10-03 19:00:00,2022-10-03 19:00:00,4,0.015464913976416007,300,1.1598685482312006,81.39999999999999,0.3147109994200657,0.18648,0.7111525423728813,1.923205335616438
68,68.0,2022-10-03 20:00:00,2022-10-03 20:00:00,2,0.007732456988208004,300,1.1598685482312006,79.39999999999999,0.30697854243185774,0.15824,0.603457627118644,1.88894258219178
69,69.0,2022-10-03 21:00:00,2022-10-03 21:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
70,70.0,2022-10-03 22:00:00,2022-10-03 22:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
71,71.0,2022-10-03 23:00:00,2022-10-03 23:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
72,72.0,2022-10-04 00:00:00,2022-10-04 00:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
73,73.0,2022-10-04 01:00:00,2022-10-04 01:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
74,74.0,2022-10-04 02:00:00,2022-10-04 02:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
75,75.0,2022-10-04 03:00:00,2022-10-04 03:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
76,76.0,2022-10-04 04:00:00,2022-10-04 04:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
77,77.0,2022-10-04 05:00:00,2022-10-04 05:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
78,78.0,2022-10-04 06:00:00,2022-10-04 06:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
79,79.0,2022-10-04 07:00:00,2022-10-04 07:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
80,80.0,2022-10-04 08:00:00,2022-10-04 08:00:00,5,0.01933114247052001,300,1.1598685482312006,82.39999999999999,0.3185772279141697,0.2006,0.765,1.935195267123288
81,81.0,2022-10-04 09:00:00,2022-10-04 09:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
82,82.0,2022-10-04 10:00:00,2022-10-04 10:00:00,44,0.1701140537405761,900,3.479605644693602,121.4,0.46936013918422587,0.7512800000000001,2.8650508474576273,2.393312260273972
83,83.0,2022-10-04 11:00:00,2022-10-04 11:00:00,42,0.16238159675236807,900,3.479605644693602,119.4,0.46162768219601785,0.72304,2.7573559322033896,2.3845738356164383
84,84.0,2022-10-04 12:00:00,2022-10-04 12:00:00,42,0.16238159675236807,900,3.479605644693602,119.4,0.46162768219601785,0.72304,2.7573559322033896,2.3845738356164383
85,85.0,2022-10-04 13:00:00,2022-10-04 13:00:00,35,0.13531799729364008,900,3.479605644693602,112.4,0.43456408273728986,0.6242000000000001,2.3804237288135597,2.3060093013698637
86,86.0,2022-10-04 14:00:00,2022-10-04 14:00:00,33,0.12758554030543207,600,2.319737096462401,110.39999999999999,0.4268316257490818,0.59596,2.272728813559322,2.192084630136986
87,87.0,2022-10-04 15:00:00,2022-10-04 15:00:00,30,0.11598685482312006,600,2.319737096462401,107.39999999999999,0.41523294026676977,0.5536000000000001,2.1111864406779666,2.1702588904109583
88,88.0,2022-10-04 16:00:00,2022-10-04 16:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
89,89.0,2022-10-04 17:00:00,2022-10-04 17:00:00,5,0.01933114247052001,300,1.1598685482312006,82.39999999999999,0.3185772279141697,0.2006,0.765,1.935195267123288
90,90.0,2022-10-04 18:00:00,2022-10-04 18:00:00,2,0.007732456988208004,300,1.1598685482312006,79.39999999999999,0.30697854243185774,0.15824,0.603457627118644,1.88894258219178
91,91.0,2022-10-04 19:00:00,2022-10-04 19:00:00,3,0.011598685482312006,300,1.1598685482312006,80.39999999999999,0.31084477092596174,0.17236,0.6573050847457628,1.9079232534246573
92,92.0,2022-10-04 20:00:00,2022-10-04 20:00:00,2,0.007732456988208004,300,1.1598685482312006,79.39999999999999,0.30697854243185774,0.15824,0.603457627118644,1.88894258219178
93,93.0,2022-10-04 21:00:00,2022-10-04 21:00:00,1,0.003866228494104002,300,1.1598685482312006,78.39999999999999,0.30311231393775373,0.14412,0.5496101694915254,1.8666697602739728
94,94.0,2022-10-04 22:00:00,2022-10-04 22:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
95,95.0,2022-10-04 23:00:00,2022-10-04 23:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
96,96.0,2022-10-05 00:00:00,2022-10-05 00:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
97,97.0,2022-10-05 01:00:00,2022-10-05 01:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
98,98.0,2022-10-05 02:00:00,2022-10-05 02:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
99,99.0,2022-10-05 03:00:00,2022-10-05 03:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
100,100.0,2022-10-05 04:00:00,2022-10-05 04:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
101,101.0,2022-10-05 05:00:00,2022-10-05 05:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
102,102.0,2022-10-05 06:00:00,2022-10-05 06:00:00,0,0.0,0,0.0,77.39999999999999,0.2992460854436497,0.13,0.4957627118644068,1.7616867328767123
103,103.0,2022-10-05 07:00:00,2022-10-05 07:00:00,5,0.01933114247052001,300,1.1598685482312006,82.39999999999999,0.3185772279141697,0.2006,0.765,1.935195267123288
104,104.0,2022-10-05 08:00:00,2022-10-05 08:00:00,22,0.08505702687028804,600,2.319737096462401,99.39999999999999,0.38430311231393777,0.44064000000000003,1.6804067796610171,2.127704794520548
105,105.0,2022-10-05 09:00:00,2022-10-05 09:00:00,62,0.2397061666344481,900,3.479605644693602,139.39999999999998,0.5389522520780978,1.0054400000000001,3.834305084745763,2.7335621301369866
106,106.0,2022-10-05 10:00:00,2022-10-05 10:00:00,62,0.2397061666344481,900,3.479605644693602,139.39999999999998,0.5389522520780978,1.0054400000000001,3.834305084745763,2.7335621301369866
107,107.0,2022-10-05 11:00:00,2022-10-05 11:00:00,60,0.23197370964624012,900,3.479605644693602,137.39999999999998,0.5312197950898898,0.9772000000000001,3.7266101694915257,2.679871623287671
108,108.0,2022-10-05 12:00:00,2022-10-05 12:00:00,59,0.2281074811521361,900,3.479605644693602,136.39999999999998,0.5273535665957858,0.96308,3.672762711864407,2.6532295890410955
109,109.0,2022-10-05 13:00:00,2022-10-05 13:00:00,32,0.12371931181132806,600,2.319737096462401,109.39999999999999,0.4229653972549778,0.58184,2.218881355932204,2.184667130136986
110,110.0,2022-10-05 14:00:00,2022-10-05 14:00:00,15,0.05799342741156003,600,2.319737096462401,92.39999999999999,0.3572395128552097,0.3418,1.3034745762711866,2.09539294520548
